person,personLabel,positionLabel,arTitle,enTitle,image
http://www.wikidata.org/entity/Q1322456,سيرج بلانكو,رئيس,سيرج بلانكو,Serge Blanco,http://commons.wikimedia.org/wiki/Special:FilePath/Serge%20Blanco%20cropped.jpg
http://www.wikidata.org/entity/Q1322456,سيرج بلانكو,رئيس,سيرج بلانكو,Serge Blanco,http://commons.wikimedia.org/wiki/Special:FilePath/Serge%20Blanco%20cropped.jpg
http://www.wikidata.org/entity/Q1322456,سيرج بلانكو,رئيس,سيرج بلانكو,Serge Blanco,http://commons.wikimedia.org/wiki/Special:FilePath/Serge%20Blanco%20cropped.jpg
http://www.wikidata.org/entity/Q1322456,سيرج بلانكو,رئيس,سيرج بلانكو,Serge Blanco,http://commons.wikimedia.org/wiki/Special:FilePath/Serge%20Blanco%20cropped.jpg
http://www.wikidata.org/entity/Q1322456,سيرج بلانكو,رئيس,سيرج بلانكو,Serge Blanco,http://commons.wikimedia.org/wiki/Special:FilePath/Serge%20Blanco%20cropped.jpg
http://www.wikidata.org/entity/Q1322456,سيرج بلانكو,رئيس,سيرج بلانكو,Serge Blanco,http://commons.wikimedia.org/wiki/Special:FilePath/Serge%20Blanco%20cropped.jpg
http://www.wikidata.org/entity/Q78755,Irenäus Eibl-Eibesfeldt,رئيس,,Irenäus Eibl-Eibesfeldt,http://commons.wikimedia.org/wiki/Special:FilePath/Portrait%20Iren%C3%A4us%20Eibl-Eibesfeldt%2001.tif
http://www.wikidata.org/entity/Q352249,Milan Martić,رئيس,,Milan Martić,http://commons.wikimedia.org/wiki/Special:FilePath/Milan%20Martic%20ICTY.png
http://www.wikidata.org/entity/Q352249,Milan Martić,رئيس,,Milan Martić,http://commons.wikimedia.org/wiki/Special:FilePath/Milan%20Martic%20ICTY.png
http://www.wikidata.org/entity/Q355223,فرانك نايت,رئيس,فرانك نايت,Frank Knight,
http://www.wikidata.org/entity/Q358291,Joseph David Sinzheim,رئيس,,Joseph David Sinzheim,http://commons.wikimedia.org/wiki/Special:FilePath/David%20Sintzheim%20%281745-1812%29.jpg
http://www.wikidata.org/entity/Q358479,هيرفيه بازين,رئيس,هيرفيه بازين,Hervé Bazin,http://commons.wikimedia.org/wiki/Special:FilePath/Herv%C3%A9%20Bazin%20%C3%A0%20Cunault%20en%201993.jpg
http://www.wikidata.org/entity/Q371957,جان ديودونيه,رئيس,جان ديودونيه,Jean Dieudonné,http://commons.wikimedia.org/wiki/Special:FilePath/Jean%20Dieudonn%C3%A9.jpg
