person,personLabel,arTitle,enTitle,image
http://www.wikidata.org/entity/Q1770561,كايو كانيدو,كايو كانيدو,Caio Canedo,http://commons.wikimedia.org/wiki/Special:FilePath/Lebanon%20v%20United%20Arab%20Emirates%2C%2016%20November%202021%2019%20%28Caio%20Canedo%20Corr%C3%AAa%29.jpg
http://www.wikidata.org/entity/Q2083523,ناصر الشمراني,ناصر الشمراني,Nasser Al-Shamrani,
http://www.wikidata.org/entity/Q2086919,محمد السيد,محمد السيد,Mohamed El-Sayed (Qatari footballer),http://commons.wikimedia.org/wiki/Special:FilePath/Mohammed%20Al%20Sayed.jpg
http://www.wikidata.org/entity/Q2087335,عبد الله الشهيل,عبد الله الشهيل,Abdullah Shuhail,http://commons.wikimedia.org/wiki/Special:FilePath/Abdullah%20Shuhail.jpg
http://www.wikidata.org/entity/Q2107207,Humaid Al-Derei,,Humaid Al-Derei,
http://www.wikidata.org/entity/Q2107792,عيسى مجرشي,عيسى مجرشي,Eisa Majrashi,
http://www.wikidata.org/entity/Q2108288,Nugzar Tatalashvili,,Nugzar Tatalashvili,http://commons.wikimedia.org/wiki/Special:FilePath/5.%20Islamic%20Solidarity%20Games%202021%20Konya%20Men%20Judo%2081kg%20Medal%20Ceremony%2020220816%201%20%28cropped3%29.jpg
http://www.wikidata.org/entity/Q2127179,رجاء بلمليح,رجاء بلمليح,Rajae Belmlih,
http://www.wikidata.org/entity/Q2140710,حسن معاذ فلاته,حسن معاذ فلاته,Hassan Muath,
http://www.wikidata.org/entity/Q2154682,إيفان ريمارينكو,إيفان ريمارينكو,Ivan Remarenco,
http://www.wikidata.org/entity/Q2154686,سيرجيو توما,سيرجيو توما,Sergiu Toma,http://commons.wikimedia.org/wiki/Special:FilePath/Sergiu%20Toma%202016-08-09.jpg
http://www.wikidata.org/entity/Q203530,محمد المالكي,محمد المالكي (منافس ألعاب قوى),Mohammed Al-Malki,
http://www.wikidata.org/entity/Q203776,محمد حبيل,محمد حبيل,Mohamed Hubail,
http://www.wikidata.org/entity/Q205051,حصة بنت أحمد بن محمد السديري,حصة بنت أحمد بن محمد السديري,Hussa bint Ahmed Al Sudairi,
http://www.wikidata.org/entity/Q208301,خالد بن عبد العزيز آل سعود,خالد بن عبد العزيز آل سعود,Khalid of Saudi Arabia,http://commons.wikimedia.org/wiki/Special:FilePath/Khalid%20II%20of%20Saudi%20Arabia%20portrait.jpg
http://www.wikidata.org/entity/Q215477,مكتوم بن راشد آل مكتوم,مكتوم بن راشد آل مكتوم,Maktoum bin Rashid Al Maktoum,http://commons.wikimedia.org/wiki/Special:FilePath/Maktoum%20bin%20Rashid%20Al%20Maktoum.jpg
http://www.wikidata.org/entity/Q217167,فيصل بن عبد العزيز آل سعود,فيصل بن عبد العزيز آل سعود,Faisal of Saudi Arabia,http://commons.wikimedia.org/wiki/Special:FilePath/King%20Faisal%20of%20Saudi%20Arabia%20on%20on%20arrival%20ceremony%20welcoming%2005-27-1971%20%28cropped%29.jpg
http://www.wikidata.org/entity/Q400895,أحمد عجب,أحمد عجب,Ahmad Ajab,
http://www.wikidata.org/entity/Q400901,أحمد البحري,أحمد البحري,Ahmed Al-Bahri,
